Date,actual,prediction,probability
2023-07-24,1,1,0.9514906406402588
2023-07-31,1,1,0.9790624380111694
2023-08-07,0,1,0.9498688578605652
2023-08-14,1,1,0.9342331290245056
2023-08-21,0,1,0.9842419028282166
2023-08-28,0,1,0.779640257358551
2023-09-04,0,1,0.8705775737762451
2023-09-11,0,1,0.584680438041687
2023-09-18,0,0,0.046839114278554916
2023-09-25,0,0,0.19122369587421417
2023-10-02,0,0,0.21296727657318115
2023-10-09,0,0,0.42378512024879456
2023-10-16,1,0,0.30512169003486633
2023-10-23,1,1,0.8838917016983032
2023-10-30,1,1,0.5128528475761414
2023-11-06,1,1,0.9616933465003967
2023-11-13,1,1,0.954731822013855
2023-11-20,1,0,0.4999920129776001
2023-11-27,1,1,0.8940427303314209
2023-12-04,1,1,0.9981532692909241
2023-12-11,1,1,0.9695641398429871
2023-12-18,0,1,0.9966852068901062
2023-12-25,0,1,0.885773777961731
2024-01-01,0,1,0.6541605591773987
2024-01-08,0,0,0.39301300048828125
2024-01-15,0,1,0.9360496401786804
2024-01-22,0,1,0.5784692168235779
2024-01-29,0,0,0.060091499239206314
2024-02-05,0,0,0.00994297955185175
2024-02-12,0,0,0.11184293031692505
2024-02-19,0,0,0.006549613084644079
2024-02-26,0,0,0.2699478566646576
2024-03-04,0,0,0.0846223458647728
2024-03-11,0,0,0.04271712899208069
2024-03-18,0,0,0.02470308355987072
2024-03-25,0,0,0.07019040733575821
2024-04-01,1,0,0.04095010459423065
2024-04-08,1,0,0.19102512300014496
2024-04-15,1,1,0.7507352828979492
2024-04-22,0,1,0.9358281493186951
2024-04-29,0,1,0.5645977854728699
2024-05-06,0,1,0.5737194418907166
2024-05-13,0,0,0.21827393770217896
2024-05-20,0,0,0.017800552770495415
2024-05-27,1,0,0.0028473332058638334
2024-06-03,1,0,0.49581289291381836
2024-06-10,1,1,0.9962090253829956
2024-06-17,0,1,0.5734302401542664
2024-06-24,0,1,0.7482723593711853
2024-07-01,0,0,0.013489529490470886
2024-07-08,0,0,0.04979937896132469
2024-07-15,1,0,0.3592417538166046
2024-07-22,0,1,0.9510050415992737
2024-07-29,0,0,0.0009395352099090815
2024-08-05,0,0,0.4178178608417511
2024-08-12,1,0,0.029310112819075584
2024-08-19,1,0,0.13464203476905823
2024-08-26,1,1,0.9699357748031616
2024-09-02,1,1,0.7510887980461121
2024-09-09,1,1,0.98366779088974
2024-09-16,0,0,0.4397495687007904
2024-09-23,0,0,0.24382953345775604
2024-09-30,0,1,0.5630660653114319
2024-10-07,0,0,0.06590396165847778
2024-10-14,1,0,0.00824345089495182
2024-10-21,1,0,0.3251897692680359
2024-10-28,1,1,0.9973766803741455
2024-11-04,1,0,0.2585703730583191
2024-11-11,1,1,0.9975910186767578
2024-11-18,0,1,0.9986968636512756
2024-11-25,0,1,0.603874146938324
2024-12-02,0,0,0.005491518881171942
2024-12-09,0,0,0.0043431553058326244
2024-12-16,0,0,0.0019461957272142172
2024-12-23,0,0,0.006414670962840319
2024-12-30,1,0,0.01061615813523531
2025-01-06,1,0,0.19309759140014648
2025-01-13,0,0,0.34816494584083557
2025-01-20,0,1,0.7448415756225586
2025-01-27,0,0,0.014256607741117477
2025-02-03,0,1,0.5430509448051453
2025-02-10,0,0,0.10537697374820709
2025-02-17,0,0,0.23604716360569
2025-02-24,0,0,0.004902427084743977
2025-03-03,0,0,0.00024289543216582388
2025-03-10,0,0,0.005588785279542208
2025-03-17,0,0,0.0033051306381821632
2025-03-24,0,0,0.19414782524108887
2025-03-31,0,0,0.4888846278190613
