Date,VolTermStructPC1,VolTermStructPC2,MichgnConcIndx,RandPPP_Factor_Inst_TS_ST,BCMPEBLS.Index,PPP.ZA.Index_QS,GLD_FracDiff,GLD_StructBreak,GLD_LempZiev,GLD_RollSD,GLD_RollSkew,GLD_RollKurt,GenComIndexPC1_QS,GlobalEquityTS,GlobalBondVol6,GlobalPropertyVol12,USDZAR_EntDyn,GlobalEquity_EntDyn,SA_NB_Slope,SA_RB_Curvature,US_RB_Curvature,SA_CDS_Slope,EURUSDV6M.Curncy_QS,MXWD.Index.PE.Ratio_QS,TOP40.Index.Price.to.Ebitda_Diff,JALSH.Index.Price.to.Sales.Ratio_Diff,TOP40.Index.Price.to.Book.Ratio_Diff,JALSH_Fundamental_PC1,MXWD_Fundamental_PC1,zrel_momentum_vs_value_12,relvol_momentum_vs_value_12,corr_momentum_value_12,volratio_momentum_value_12,zrel_momentum_vs_quality_12,relvol_momentum_vs_quality_12,corr_momentum_quality_12,volratio_momentum_quality_12,zrel_value_vs_quality_12,relvol_value_vs_quality_12,corr_value_quality_12,volratio_value_quality_12
2008-11-17,86.44034833,0.45260961,70.3,7.714012862,-35.68,1.0,73.04653704,1.056752612,14.0,0.051065578,-1.39327696,2.040792119,0.975,-13.26527445,0.05179942,0.293923588,5.4,12.0,2.341939295,-0.663885564,253.9360323,867.7324851,0.98,0.02,3.039544581,0.829125652,0.701126215,12.2155997,-8.203038535,1.109675592,0.012749995,0.949768582,0.966156213,-1.892678099,0.096797335,-0.179918386,0.481325125,-2.033179297,0.09706697,-0.165120258,0.498185613
2008-11-24,122.9817173,-4.954242208,70.3,7.510683038,-35.68,1.0,59.69731049,1.981591002,14.4,0.051847094,-1.530560126,2.888180133,0.925,-12.08794384,0.050388174,0.333041532,5.4,12.0,1.408474775,-0.600485869,168.2838911,716.1051465,1.0,0.01,2.906651125,0.824744917,0.700303626,-11.53376712,-8.249520865,-0.265922528,0.012383107,0.978084673,0.980724295,1.682391345,0.114127142,-0.283863752,0.703289243,1.700677395,0.114836278,-0.281163466,0.717112084
2008-12-01,96.49963852,-10.96411606,57.6,7.903157486,-35.68,1.0,-33.70191931,-0.111654691,14.8,0.051808008,-1.544326039,2.92793573,0.935,-13.16257805,0.051065971,0.357631873,5.4,12.2,2.452582016,-0.59334602,301.6938981,373.0263569,0.99,0.03,2.903278793,0.817776113,0.696253318,-10.86365486,-8.459834045,-1.205808659,0.013293395,0.973550576,0.995794777,-0.782176118,0.116692524,-0.309623393,0.677217703,-0.648366892,0.116052832,-0.290371206,0.680077581
2008-12-08,103.799695,8.395303496,57.6,8.355770091,-35.68,1.0,75.9720977,0.386455108,15.0,0.053094586,-1.234815107,1.952396047,0.94,-14.28192231,0.05078581,0.358064003,5.4,12.6,3.350605312,-0.471805765,561.0877302,399.9126023,0.98,0.04,2.897434378,0.812640358,0.695961926,-10.8920297,-8.618873179,-0.134579882,0.011269505,0.981052528,0.993483531,-0.195617709,0.116396681,-0.291690564,0.673134745,-0.182928139,0.116180067,-0.280323843,0.677549978
2008-12-15,118.5585427,7.755273361,57.6,8.759091829,-35.68,1.0,129.0575048,0.39546374,15.4,0.052662468,-1.161846828,1.933126457,0.96,-15.3063437,0.050282706,0.36505782,5.4,13.0,3.193221383,-0.175310884,645.9629441,420.1733663,0.98,0.07,2.913648159,0.834362946,0.780582362,-10.88296626,-8.859951409,1.65042415,0.01294276,0.973662407,0.986365818,-0.083289533,0.112784108,-0.258398162,0.661110448,-0.273722056,0.112357695,-0.235784516,0.670248742
2008-12-22,112.4200918,8.472089428,57.6,9.243144282,-35.68,1.0,105.7651582,0.393807284,15.4,0.057305123,-1.018051225,0.578871671,0.95,-16.44581192,0.051870586,0.364399021,5.4,13.0,4.565152922,-0.789746938,325.560586,468.0386813,0.99,0.105,3.194152252,0.850371968,0.770643241,-10.66408898,-9.171542719,-1.262468129,0.013097921,0.982515988,0.941812359,0.770761442,0.114213239,-0.252501063,0.817649794,0.915741244,0.114188227,-0.188236801,0.868166345
2008-12-29,118.5161739,8.224848354,55.3,9.627987931,-35.68,1.0,110.9559791,0.317384265,15.0,0.059403843,-0.949863412,0.364246072,0.95,-17.65998205,0.052604814,0.356892962,5.4,12.6,4.002224327,-0.59488209,-232.6293759,442.3939535,0.99,0.15,3.11003633,0.859769255,0.753018053,-10.78885215,-9.291534445,1.085083787,0.013932808,0.981176605,0.930816248,-0.369139662,0.112050062,-0.232896066,0.839656745,-0.501579685,0.112605011,-0.168071069,0.902064985
2009-01-05,107.3132689,12.41646004,55.3,10.13433609,-35.68,1.0,122.339775,0.286518356,15.4,0.058888253,-1.043534986,0.582886141,0.955,-18.42828118,0.053795586,0.358317731,5.4,13.4,4.242285906,-0.415853365,198.2137078,417.0977946,0.95,0.135,3.002966203,0.877598256,0.768545998,-10.67391481,-9.288000629,0.26086049,0.013897379,0.983084186,0.947013806,1.279036985,0.119221093,-0.360778305,0.95259013,1.244648998,0.119602322,-0.298037716,1.005888324
2009-01-12,105.8466047,12.51283057,55.3,10.55269166,-35.68,1.0,58.40576197,0.35274766,15.8,0.062908117,-0.756725333,-0.32720394,0.9,-18.73672768,0.057845037,0.347656257,5.4,12.8,4.562080665,-0.39099668,75.83538702,341.4229552,1.0,0.175,2.96183725,0.857159511,0.700321754,-10.5934097,-9.400497742,-1.666197516,0.01569772,0.979120625,0.932990569,0.700749166,0.109553601,-0.379825597,1.142391752,0.904516847,0.113790137,-0.377218621,1.224440836
2009-01-19,87.20332653,14.7246953,55.3,11.01152882,-35.68,1.0,32.40235829,0.6750136,15.8,0.062684015,-0.667445594,-0.385613329,0.835,-18.00334674,0.060531781,0.345627372,5.4,13.2,4.996529885,-0.496312583,-14.86953714,350.9618333,1.0,0.145,2.6423478,0.796858916,0.641335212,-11.01456962,-9.142412926,0.743000144,0.015990671,0.977635406,0.935281605,-0.294193875,0.110008086,-0.401054861,1.131466134,-0.385945575,0.114639936,-0.41262249,1.20975985
