Date,SA_NB_Level_lag1,SA_NB_Slope_lag1,SA_NB_Curvature_lag1,SA_NB_Level_QS_lag1,SA_NB_Slope_QS_lag1,SA_NB_Curvature_QS_lag1,SA_NB_Level_TS_lag1,SA_NB_Slope_TS_lag1,US_NB_Level_lag1,US_NB_Slope_lag1,US_NB_Curvature_lag1,US_NB_Level_QS_lag1,US_NB_Slope_QS_lag1,US_NB_Curvature_QS_lag1,US_NB_Level_TS_lag1,US_NB_Slope_TS_lag1,Momentum_excess_momentum_lag1,Momentum_excess_kurtosis_lag1,Momentum_excess_skewness_lag1,Value_excess_momentum_lag1,Value_excess_volatility_lag1,Value_excess_kurtosis_lag1,Value_excess_skewness_lag1,Quality_excess_momentum_lag1,Quality_excess_kurtosis_lag1,Quality_excess_skewness_lag1,Momentum_relative_volatility_lag1,Momentum_relative_kurtosis_lag1,Momentum_relative_skewness_lag1,Value_relative_volatility_lag1,Value_relative_kurtosis_lag1,Quality_relative_volatility_lag1,Quality_relative_skewness_lag1,Momentum_momentum_1M_lag1,Momentum_momentum_6M_lag1,Momentum_momentum_24M_lag1,Value_momentum_3M_lag1,Value_momentum_12M_lag1,Quality_momentum_12M_lag1,Quality_momentum_24M_lag1,Momentum_lag1,Momentum_vs_Value_lag1,Momentum_vs_Quality_lag1,Value_vs_Quality_lag1,Value_vs_Quality_Cumulative_lag1,Momentum_vs_Value_trend_lag1,Value_vs_Quality_trend_lag1,Momentum_vs_Quality_trend_lag1,trend_bin,trend_bin
2021-04-01,10.75346623,-6.541900984,-9.570785422,0.799,0.129,0.24,-20.33090133,17.8780387,2.055083465,-1.245540667,-5.567175256,0.345,0.215,0.006,34.13660431,-30.11354471,0.0199999999999999,-1.4134696955415216,0.4694492348722161,0.1,0.0945868207873944,0.512792038041848,1.4248596509625735,0.0299999999999999,0.9005222643003892,1.6114164517525789,0.955284411058262,0.3930042883803436,10.791253141156474,1.423840722964332,0.1171477490960779,1.014242833147055,-6.469607448630026,0.08,0.1999999999999999,0.37,0.1299999999999999,0.5,0.32,0.1099999999999999,0.0601,0.0262,0.0179,-0.0083,-0.1226743872117716,0.0,1.0,0.0,1.0,1.0
2021-05-01,11.41958505,-7.076462424,-10.71440654,0.868,0.071,0.238,-13.82139339,-13.57783163,2.3539369,-1.483763849,-6.230711108,0.445,0.043,0.005,34.7695838,-29.91091348,0.0199999999999999,-1.4134696955415216,0.4694492348722161,0.13,0.0910860399109911,0.6429365947816041,1.4865363396605265,0.0099999999999999,0.8841889504895994,1.615183197921405,0.6891142460320204,34.054221023444605,0.4447095427039638,1.124358271860361,-16.578839943916403,0.9560860244892528,-1.9449632099614893,0.06,0.2499999999999999,0.36,0.1099999999999999,0.36,0.26,0.0599999999999999,0.0018,-0.0176,-0.0007999999999999,0.0168,-0.1079353169169293,0.0,1.0,0.0,1.0,1.0
2021-06-01,11.31505909,-7.024240593,-11.42450285,0.851,0.079,0.203,-13.39598271,-10.89842396,2.234166596,-1.441783735,-5.872147556,0.414,0.043,0.03,43.55439847,-38.00753451,-0.05,-1.2275709342560546,0.474799153012304,-0.0399999999999999,0.0314112506383726,-1.223886048210373,0.0879711860764037,-0.11,-0.3988322354745435,0.8901520973200261,1.0795560089548817,18.754197645156957,0.0606519473800079,0.4696682183138739,11.042388059701487,0.7097016771772748,-0.2166640725329244,0.0,0.2299999999999999,0.42,0.09,0.4,0.31,0.15,0.0157,-0.02,-0.0322,-0.0121999999999999,-0.1188185060505427,0.0,1.0,1.0,1.0,1.0
2021-07-01,10.74395428,-6.604452621,-9.521844949,0.736,0.17,0.301,-14.44873703,-10.33257802,2.178373511,-1.362745347,-5.888812998,0.401,0.111,0.045,48.95989353,-44.1424305,-0.06,-1.2781065088757393,0.4053578357030522,-0.0299999999999999,0.0288097205817759,-1.3961387719552911,0.32984201955009,-0.1,-0.2377647918188463,1.0210941241011149,2.4934697319895247,1.6011898549211971,-0.7095457171718402,1.5603789952110096,0.5236826073713073,1.5275252316519567,-0.3879429159750965,0.02,0.1499999999999999,0.3400000000000001,0.0499999999999999,0.32,0.27,0.1299999999999999,-0.0172,-0.0039,-0.0045,-0.0005999999999999,-0.1193472149469124,0.0,1.0,1.0,1.0,1.0
2021-08-01,10.61590706,-6.539911073,-8.342308393,0.705,0.194,0.325,-17.38225496,8.749073351,2.0077345,-1.354450667,-4.85522646,0.322,0.134,0.103,43.39152273,-46.01842471,0.0399999999999999,-1.441568559556787,-0.1211324427522471,0.03,0.0361939221417077,-1.6345201328593906,1.2524602665054914e-16,-0.02,-1.5000000000000002,0.2947996201448287,1.298350602000205,7.821328660897072,-0.1396221477061184,0.8181612036157994,3.451842566728241,0.8106434833777795,-0.2134480072916643,-0.02,0.1699999999999999,0.4,0.0499999999999999,0.3299999999999999,0.28,0.18,0.031,0.0097,0.0171,0.0074,-0.1128303843375195,0.0,1.0,0.0,0.0,0.0
2021-09-01,10.56738017,-6.270404603,-8.783961981,0.684,0.272,0.313,-17.13323299,9.843683293,1.78260684,-1.118209838,-4.597812121,0.264,0.368,0.128,27.7704118,-34.12435535,-2.775557561562892e-17,-0.9562499999999998,0.1026979795322184,0.01,0.0343025752191678,-1.3425836015055093,0.2364198841944942,0.0099999999999999,-1.673094173032614,-0.1177150163025333,1.000000000000003,6.643370346178967,0.1776649746192896,0.6515288143423732,1.4499408670513476,0.9302183197771282,0.1084694794342488,0.03,0.1299999999999999,0.44,0.0499999999999999,0.4,0.35,0.27,0.0382,9.999999999999593e-05,-0.0103,-0.0104,-0.1220569483404093,0.0,1.0,0.0,0.0,0.0
2021-10-01,10.46958457,-6.26289249,-8.683948614,0.644,0.292,0.33,-15.42783301,7.649934233,1.842118424,-1.212993812,-4.573753408,0.301,0.274,0.138,-24.62647672,-24.55354149,-0.03,-0.8678535134931691,0.4794040561254726,2.775557561562892e-17,0.0357770876399966,-1.4472656249999998,0.2583446213091634,-0.03,-1.875302338081161,0.0587710268544439,0.890254565553791,-10.409059174238694,0.091377623511608,0.8991721961325808,-12.551136363636395,1.2985261694575,-0.1544427093075334,0.04,0.0699999999999999,0.45,0.0499999999999999,0.38,0.28,0.21,0.0012,0.0129,0.0291,0.0162,-0.107834270903524,0.0,1.0,0.0,0.0,0.0
2021-11-01,11.09859105,-7.01004143,-9.094552109,0.807,0.083,0.312,-11.79010253,5.594111201,2.065661325,-1.477685447,-4.704673598,0.419,0.021,0.115,-20.26101668,-19.85761954,-0.01,-0.5865965397923878,0.4620160988927412,0.08,0.0413118223595457,-1.4967041015624998,-0.2409963541348683,0.0299999999999999,-1.4474902100391598,-0.5701759258247467,1.1679733942650383,1.4544737697099008,0.2544895777719859,1.0991326059894475,1.5312546899983506,1.3342963766754603,-0.0461328416600083,0.0,0.0399999999999999,0.35,0.0799999999999999,0.49,0.32,0.1999999999999999,-0.027,-0.0739,-0.0342,0.0397,-0.0724152914583938,0.0,1.0,0.0,1.0,1.0
2021-12-01,11.28969278,-7.489201826,-7.385456729,0.839,0.011,0.414,11.88081991,-10.11801348,2.021529016,-1.675598864,-3.579547842,0.392,0.008,0.27,13.06839576,-19.22984231,-0.05,-0.3012782674689114,0.9064403636192132,0.01,0.0453504869507116,-1.634010964330464,0.3184139424047775,-0.05,-1.8035770582671835,0.082036031119325,1.066328203492462,1.33371902053018,-0.2397724558552228,1.0663282034924657,1.6069132437966749,1.0663282034924608,-0.7857603372604891,-0.03,0.0199999999999999,0.37,0.0299999999999999,0.3199999999999999,0.19,0.2,0.0025,0.0078,0.009,0.0011999999999999,-0.0713021898081438,0.0,1.0,0.0,1.0,1.0
2022-01-01,11.24662756,-6.839075632,-9.19553334,0.821,0.159,0.311,14.00996283,-11.98958517,1.857069547,-1.618339285,-2.815724623,0.322,0.027,0.39,11.2761293,-24.57934289,0.0299999999999999,-1.1243307555026776,0.5485127246819332,0.09,0.0423083916026123,-1.5585655878405795,-0.3124387040193995,0.0499999999999999,-1.3871803910996825,-0.3561740267178459,1.1679733942650383,1.152854785207847,0.6740534762609357,1.1679733942650432,1.575121363510722,1.5506850993856442,-0.4467246050755575,0.0,0.0799999999999999,0.3600000000000001,0.09,0.3199999999999999,0.21,0.25,0.0353,-0.0181,-0.0301,-0.0119999999999999,-0.0824465635304461,0.0,1.0,1.0,0.0,0.0
