Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda
2019-12-23,-0.4688300790704104,0.6094151787391541,0.3939380364335249,-1.0846864500384938,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2019-12-30,-0.4369820922026293,0.08980466248248227,0.3939380364335249,-0.27146081081660195,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-01-06,-0.4369820922026293,0.08980466248248227,0.3939380364335249,-0.8136112369645306,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-01-13,-0.4369820922026293,0.6094151787391541,0.3939380364335249,-1.0846864500384938,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-01-20,-0.4369820922026293,0.6094151787391541,0.3939380364335249,-1.0846864500384938,0.0,-0.7159717618680072,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-01-27,-0.3683074009170169,0.8692204368674912,0.3939380364335249,-1.897912089260388,0.0,-0.7159717618680072,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-02-03,-0.4305018566612942,0.8692204368674912,0.3939380364335249,-1.3557616631124594,0.0,-0.7159717618680072,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-02-10,-0.4305018566612942,0.6094151787391541,0.3939380364335249,-1.3557616631124594,0.0,0.11005911656723781,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-02-17,-0.4305018566612942,0.34960992061081936,0.3939380364335249,-1.3557616631124594,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-02-24,-0.4305018566612942,0.34960992061081936,0.3939380364335249,-1.3557616631124594,0.0,-0.7159717618680072,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-03-02,-0.4509699177003893,-0.1700005956458525,0.3939380364335249,-1.897912089260388,0.0,-0.44062813572292636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-03-09,-0.4509699177003893,0.34960992061081936,0.3939380364335249,-0.8136112369645306,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-03-16,-0.4509699177003893,0.34960992061081936,0.3939380364335249,-0.8136112369645306,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-03-23,-0.4509699177003893,0.08980466248248227,0.3939380364335249,-1.0846864500384938,0.0,0.11005911656723781,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-03-30,-0.4812373593141862,-0.9494163700308591,0.3939380364335249,-0.8136112369645306,0.0,-0.44062813572292636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-04-06,-0.4812373593141862,-0.9494163700308591,0.3939380364335249,-1.3557616631124594,0.0,0.38540274271231867,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
